
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,三民家商,43,3,3,0,6,5,3,7,1,3,0,0,74
,三民高中,0,1,1,0,0,2,0,1,0,0,0,0,5
,三信家商,66,1,11,3,16,16,4,118,7,13,0,2,257
,大榮中學,3,0,0,0,1,2,1,21,0,0,0,0,28
,小港高中,0,0,0,0,2,1,0,2,0,2,0,0,7
,中山高中,0,1,0,0,3,3,0,0,0,0,0,1,8
,中正高工,0,0,3,0,2,3,1,14,1,3,0,0,27
,中正高中,0,0,1,0,0,4,0,2,0,1,0,1,9
,中華藝校,0,0,2,1,0,0,0,4,0,2,0,0,9
,左營高中,0,0,0,0,1,2,0,0,0,0,0,0,3
,立志高中,29,1,3,2,4,3,4,90,3,3,0,3,145
,明誠中學,0,0,0,0,1,1,0,0,0,2,0,0,4
,前鎮高中,0,0,1,0,2,2,0,0,0,0,0,0,5
,海青工商,3,1,5,1,5,7,0,24,0,4,0,2,52
,高師附中,0,1,0,0,1,3,0,0,0,0,0,0,5
,高雄女中,0,2,2,0,5,4,0,0,0,0,0,2,15
,高雄中學,0,2,5,0,13,9,3,0,2,5,0,1,40
,高雄高工,1,0,2,1,2,3,3,14,2,4,0,3,35
,高雄高商,0,1,4,0,8,4,1,2,0,1,0,0,21
,高鳳工家,55,0,0,0,3,0,0,8,0,2,0,1,69
,國際商工,3,0,0,0,4,1,1,20,0,0,0,1,30
,復華中學,3,1,0,0,1,3,0,9,3,1,0,0,21
,新莊高中,0,2,3,0,3,4,0,1,0,1,0,0,14
,新興高中,0,0,1,0,2,2,0,0,0,0,0,0,5
,楠梓高中,0,0,1,0,0,2,1,2,0,0,0,0,6
,瑞祥高中,0,0,0,0,1,1,0,0,0,1,0,0,3
,鼓山高中,0,0,0,0,0,0,1,2,0,0,0,0,3
,樹德家商,49,2,7,0,6,9,1,61,4,1,0,4,144
,總計,255,19,55,8,92,96,24,402,23,49,0,21,1044
