
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,三民家商,32,1,6,0,7,1,6,1,40,2,15,0,1,112
,三民高中,0,1,1,0,2,0,3,0,1,0,1,0,0,9
,三信家商,80,4,7,1,8,1,2,10,93,3,22,0,3,234
,大榮高中,10,0,3,0,0,0,3,0,16,0,2,0,3,37
,小港高中,0,0,1,0,0,1,3,0,1,0,2,0,0,8
,中山大學附屬國光高中,0,0,1,0,0,0,2,0,0,0,0,0,0,3
,中山工商,157,1,11,2,5,1,15,4,130,11,28,0,5,370
,中山高中,0,1,0,0,1,0,3,0,0,0,2,0,0,7
,中正高工,3,0,1,0,5,0,2,2,37,0,12,0,0,62
,中正高中,0,0,1,0,2,0,0,0,1,0,0,0,2,6
,中華藝校,0,0,0,0,1,0,1,3,6,0,3,0,1,15
,六龜高中(高中部),4,0,0,0,2,0,1,0,5,0,0,0,0,12
,天主教道明高中,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,文山高中(高中部),0,1,0,0,1,0,1,0,2,1,1,0,0,7
,左營高中,0,0,0,0,1,0,0,0,1,0,1,0,0,3
,正義高中,0,0,1,0,1,0,0,0,0,0,0,0,0,2
,立志學校財團法人高雄市立志高級中學,62,0,4,0,2,0,6,0,74,1,11,0,3,163
,岡山高中,0,0,0,0,3,2,1,0,2,0,0,0,0,8
,岡山農工,40,0,2,0,4,1,1,1,44,1,14,0,2,110
,明陽中學,3,0,0,1,1,0,0,1,1,0,2,0,0,9
,明誠高中,0,0,0,0,1,0,1,0,0,1,1,0,1,5
,林園高中(高中部),0,1,0,0,1,1,1,1,0,0,0,0,0,5
,前鎮高中,0,0,0,0,0,0,3,1,1,0,1,0,0,6
,海青工商,3,0,3,1,4,1,11,5,31,0,8,0,4,71
,高英工商,39,0,0,0,2,0,1,0,70,0,6,0,1,119
,高苑工商,67,0,0,1,2,1,1,2,27,0,5,0,1,107
,高師附中,0,1,1,0,1,0,2,0,1,0,8,0,1,15
,高雄女中,0,0,6,0,3,2,8,0,4,1,1,0,1,26
,高雄高工,1,0,4,2,5,0,7,8,39,0,28,0,2,96
,高雄高中,0,0,5,1,6,1,12,0,2,0,30,0,2,59
,高雄高商,0,0,3,0,3,3,7,2,9,0,8,0,0,35
,高鳳工家,32,0,0,0,0,0,1,0,2,0,5,0,0,40
,國立高雄餐旅大學附屬餐旅高中,0,0,0,0,0,0,1,0,4,0,0,0,0,5
,國際商工,1,0,0,0,0,0,1,2,2,0,0,0,1,7
,復華高中,3,0,0,2,0,0,1,0,7,0,1,0,0,14
,普門高中,5,0,1,0,2,0,0,1,1,0,2,0,0,12
,華德工家,14,0,2,0,0,0,2,0,22,0,0,0,0,40
,新光高中,4,0,0,0,0,0,1,1,7,0,1,0,0,14
,新莊高中,1,2,2,0,3,1,7,1,3,3,8,0,0,31
,新興高中,0,0,0,0,0,0,1,0,1,0,2,0,1,5
,楠梓高中,0,0,0,0,1,0,2,0,4,0,4,0,1,12
,瑞祥高中,0,0,0,0,0,0,4,0,0,0,1,0,0,5
,義大國際高中,0,0,0,0,0,0,0,1,0,0,1,0,0,2
,路竹高中(高中部),0,1,0,0,0,0,0,0,0,0,0,0,0,1
,鼓山高中,0,0,0,0,0,0,0,0,1,0,0,0,0,1
,旗山農工,11,0,2,0,2,0,2,0,45,0,1,0,0,63
,旗美高中,0,1,0,0,4,2,0,0,6,0,0,0,0,13
,旗美商工,32,1,0,0,0,0,0,0,3,3,2,0,0,41
,福誠高中,0,0,1,0,0,0,0,1,3,0,2,0,0,7
,鳳山高中,0,1,2,0,4,1,2,0,1,0,3,0,0,14
,鳳山商工,33,1,4,0,5,0,6,0,20,4,2,0,2,77
,鳳新高中,0,1,0,0,1,0,4,0,1,1,3,0,0,11
,樹德家商,49,3,5,0,2,0,6,2,96,3,7,0,3,176
,總計,686,22,80,11,98,20,145,50,867,35,258,0,41,2313
