
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,三民家商,39,2,3,0,3,2,2,17,3,5,0,2,78
,三民高中,0,0,0,0,0,0,0,1,0,0,0,0,1
,三信家商,65,1,8,0,16,16,6,134,6,16,0,2,270
,大榮高中,5,0,0,1,2,1,0,25,0,0,0,0,34
,小港高中,0,0,0,0,6,0,2,1,0,0,0,1,10
,中山大學附屬國光高中,0,0,1,0,0,0,0,0,1,1,0,0,3
,中山工商,106,2,5,0,16,15,1,98,12,5,0,5,265
,中山高中,0,0,0,0,5,4,0,0,0,3,0,1,13
,中正高工,0,0,1,0,3,7,2,21,1,6,0,0,41
,中正高中,0,1,0,0,0,1,0,1,0,2,0,0,5
,中華藝校,3,0,0,1,1,1,1,10,0,3,0,1,21
,仁武高中(高中部),0,1,0,0,0,0,0,0,0,0,0,0,1
,六龜高中(高中部),1,0,0,0,2,0,0,2,0,0,0,0,5
,文山高中(高中部),0,0,0,0,0,1,0,1,0,2,0,1,5
,左營高中,1,0,1,0,2,2,0,0,0,0,0,1,7
,正義高中,0,0,0,0,1,0,0,0,0,0,0,0,1
,立志高中,56,4,3,1,10,5,2,106,3,13,0,0,203
,岡山高中,0,2,0,0,0,3,0,0,0,0,0,0,5
,岡山農工,34,1,3,0,4,2,1,40,4,3,0,0,92
,明誠高中,0,0,1,0,1,0,0,0,0,4,0,1,7
,林園高中(高中部),0,0,0,0,2,0,0,0,0,0,0,0,2
,前鎮高中,0,0,2,0,4,2,2,0,0,1,0,0,11
,海青工商,2,0,3,1,6,6,0,26,1,8,0,2,55
,高英工商,33,1,0,0,5,3,3,67,0,0,0,4,116
,高苑工商,33,0,2,1,5,5,2,56,1,0,0,2,107
,高師附中,0,2,2,1,4,3,0,0,0,1,0,1,14
,高雄女中,0,3,3,0,6,6,0,0,0,0,0,1,19
,高雄高工,3,1,4,0,4,5,3,12,1,8,0,2,43
,高雄高中,0,4,9,0,10,9,0,2,2,13,0,4,53
,高雄高商,0,2,3,0,9,2,2,3,1,5,0,0,27
,高鳳工家,45,0,0,1,1,1,0,12,6,3,0,0,69
,國際商工,2,0,0,0,0,0,1,10,0,2,0,0,15
,復華高中,3,0,1,0,3,4,0,15,3,1,0,0,30
,普門高中,0,0,0,0,1,1,0,1,0,1,0,0,4
,華德工家,4,0,2,0,3,4,0,20,0,0,0,0,33
,新莊高中,0,2,2,0,2,3,2,1,0,1,0,3,16
,新興高中,0,0,0,0,1,0,0,0,0,0,0,0,1
,楠梓高中,0,0,0,0,1,4,0,1,0,2,0,1,9
,瑞祥高中,0,0,0,0,1,4,0,0,0,1,0,0,6
,義大國際高中,0,0,0,0,0,1,0,0,0,1,0,0,2
,路竹高中(高中部),0,0,0,0,1,0,0,0,0,0,0,0,1
,道明高中,0,0,0,0,0,0,0,1,0,1,0,0,2
,鼓山高中,0,1,0,0,2,0,1,1,0,0,0,0,5
,旗山農工,0,1,0,0,3,2,0,22,0,0,0,0,28
,旗美高中,0,0,0,0,1,1,0,1,0,1,0,0,4
,旗美商工,46,0,0,0,0,1,0,9,2,0,0,0,58
,福誠高中,0,0,0,0,0,1,0,0,0,0,0,0,1
,鳳山高中,0,2,1,1,2,6,1,0,0,2,0,0,15
,鳳山商工,37,1,1,0,5,4,3,14,3,2,0,0,70
,鳳新高中,0,2,0,0,2,3,0,0,1,1,0,1,10
,樂育高中,2,0,0,0,1,0,0,2,0,0,0,0,5
,樹德家商,47,2,8,1,9,8,3,111,3,5,0,4,201
,總計,567,38,69,9,166,149,40,844,54,123,0,40,2099
