
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,三民家商,34,3,5,0,4,3,0,16,2,9,0,3,79
,三民高中,0,0,0,0,0,1,0,1,1,0,0,0,3
,三信家商,80,1,5,0,11,11,8,127,2,16,0,1,262
,大榮高中,12,0,0,2,3,1,1,27,0,0,0,0,46
,小港高中,1,0,0,0,5,0,1,3,0,0,0,1,11
,中山大學附屬國光高中,0,0,1,0,1,0,0,0,1,1,0,0,4
,中山工商,116,2,4,0,10,12,5,95,11,7,0,2,264
,中山高中,0,0,0,0,2,3,0,0,0,3,0,1,9
,中正高工,0,0,1,0,4,3,4,22,0,8,0,0,42
,中正高中,0,1,0,0,1,0,0,3,0,2,0,0,7
,中華藝校,2,0,0,1,1,1,4,10,0,3,0,0,22
,仁武高中(高中部),0,1,0,0,0,0,0,0,0,0,0,0,1
,六龜高中(高中部),3,0,0,0,1,0,0,2,0,0,0,0,6
,文山高中(高中部),1,0,0,0,0,0,0,0,0,3,0,1,5
,左營高中,1,0,1,1,3,1,0,0,0,2,0,1,10
,立志高中,56,4,4,1,11,7,2,116,2,16,0,1,220
,岡山高中,0,1,0,0,2,2,0,0,0,0,0,0,5
,岡山農工,37,2,3,0,7,3,1,39,4,5,0,0,101
,明誠高中,0,0,1,0,1,1,0,2,0,6,0,0,11
,林園高中(高中部),0,0,0,0,2,0,0,0,0,0,0,0,2
,前鎮高中,0,1,2,0,6,1,0,0,0,2,0,0,12
,海青工商,2,0,2,1,6,4,2,22,3,8,0,3,53
,高英工商,45,1,3,0,4,4,2,75,0,2,0,3,139
,高苑工商,53,1,0,0,4,3,1,55,2,1,0,0,120
,高師附中,0,1,2,2,5,2,0,0,0,1,0,1,14
,高雄女中,0,3,2,0,7,7,0,0,0,0,0,0,19
,高雄高工,1,0,5,0,7,5,2,10,0,9,0,1,40
,高雄高中,0,2,7,0,7,7,0,2,0,17,0,4,46
,高雄高商,0,3,5,0,7,4,0,7,0,5,0,1,32
,高鳳工家,36,0,2,1,0,0,0,8,6,3,0,0,56
,國際商工,3,0,1,0,1,1,1,7,0,2,0,0,16
,復華高中,0,0,1,0,2,2,0,19,1,0,0,0,25
,普門高中,0,0,0,0,1,0,0,0,0,0,0,0,1
,華德工家,4,0,1,0,4,2,0,28,0,0,0,0,39
,新莊高中,0,2,2,0,3,3,2,0,0,2,0,1,15
,新興高中,0,0,0,0,1,1,0,0,0,0,0,0,2
,楠梓高中,0,0,0,0,1,3,0,1,0,2,0,1,8
,瑞祥高中,0,0,1,0,0,4,0,0,0,0,0,1,6
,義大國際高中,0,0,0,0,0,1,0,0,0,1,0,0,2
,路竹高中(高中部),0,0,0,0,1,1,0,1,0,0,0,0,3
,道明高中,0,0,0,0,0,0,0,1,0,1,0,0,2
,鼓山高中,0,1,0,0,2,0,0,1,0,0,0,0,4
,旗山農工,2,1,0,0,3,4,0,21,0,1,0,0,32
,旗美高中,0,0,1,0,2,0,0,3,0,1,0,0,7
,旗美商工,62,0,2,0,0,1,1,11,2,0,0,0,79
,福誠高中,0,0,0,0,0,1,0,0,0,0,0,0,1
,鳳山高中,0,2,3,1,0,6,1,0,1,4,0,1,19
,鳳山商工,39,1,0,0,6,4,2,20,3,6,0,0,81
,鳳新高中,0,4,0,0,4,2,0,0,1,2,0,1,14
,樂育高中,3,0,0,0,0,0,0,4,1,0,0,0,8
,樹德家商,46,3,8,2,8,9,3,135,6,10,0,3,233
,總計,639,41,75,12,161,131,43,894,49,161,0,32,2238
