
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,大甲高工,79,1,1,0,0,1,6,36,2,4,0,1,131
,大甲高中,0,1,4,0,2,2,3,11,0,1,0,0,24
,大里高中,0,0,1,0,7,8,6,0,1,3,0,1,27
,大里高中,0,0,0,0,1,0,2,0,1,0,0,0,4
,大明高中,2,1,4,1,4,7,13,41,0,2,0,2,77
,中科實中,0,0,0,0,0,0,0,1,0,0,0,0,1
,中港高中,0,1,0,0,0,1,0,1,0,1,0,0,4
,文華高中,0,3,8,0,4,5,8,2,0,4,0,0,34
,弘文高中,0,0,0,0,2,1,0,0,0,0,0,0,3
,玉山高中,48,0,0,1,9,8,4,35,4,2,0,0,111
,立人高中,0,1,0,0,0,2,0,0,1,0,0,0,4
,光華高工,0,0,1,1,2,0,7,18,0,1,0,0,30
,后綜高中,0,0,0,0,0,0,0,2,0,2,0,1,5
,西苑高中,0,1,1,0,2,0,2,2,0,1,0,0,9
,沙鹿高工,62,2,1,0,4,4,5,28,7,1,0,0,114
,宜寧高中,0,0,1,1,1,0,3,7,0,2,0,0,15
,忠明高中,0,1,0,0,0,0,1,2,0,4,0,0,8
,明台高中,5,1,0,0,5,3,4,52,1,0,0,4,75
,明道高中,0,1,2,0,1,0,6,23,3,2,0,1,39
,明德女中,3,1,2,1,6,6,5,31,0,3,0,0,58
,東大附中,0,0,0,0,0,0,0,0,0,2,0,0,2
,東山高中,0,1,0,0,0,1,0,0,0,1,0,0,3
,東勢高工,31,1,3,0,3,1,4,47,4,3,0,2,99
,長億高中,0,0,0,0,3,0,0,1,0,2,0,0,6
,青年高中,8,0,1,0,3,11,13,39,1,3,0,3,82
,致用高中,6,1,2,0,7,6,2,26,2,1,0,1,54
,常春籐高中,0,0,0,0,1,1,1,1,0,1,0,0,5
,清水高中,0,0,1,0,1,4,3,0,0,2,0,0,11
,惠文高中,0,0,3,0,2,0,2,1,1,0,0,1,10
,華盛頓高中,0,0,2,0,1,1,1,0,0,0,0,0,5
,慈明高中,3,2,1,5,12,2,8,36,1,1,0,3,74
,新民高中,2,3,2,1,9,6,9,14,1,4,0,1,52
,新社高中,0,1,0,0,1,3,0,2,0,0,0,1,8
,僑泰高中,19,1,3,3,10,6,10,83,3,2,0,2,142
,嘉陽高中,10,0,0,1,6,11,4,65,0,6,0,0,103
,臺中一中,0,6,6,1,9,12,9,2,2,12,0,2,61
,臺中二中,0,0,4,3,6,5,6,1,0,5,0,0,30
,臺中女中,0,2,6,0,10,6,3,0,1,0,0,3,31
,臺中技院附高商進校,1,0,0,1,4,0,0,0,0,0,0,1,7
,臺中家商,39,3,6,0,6,6,4,32,4,2,0,0,102
,臺中高工,49,2,5,0,7,3,13,66,4,4,0,2,155
,臺中高農,77,2,7,0,4,7,17,46,11,12,0,2,185
,臺中啟明學校附設高職進修學校,0,0,1,0,1,0,0,1,0,0,0,0,3
,曉明女中,0,0,1,0,0,1,0,0,0,0,0,0,2
,嶺東高中,2,1,2,0,4,3,2,23,0,2,0,1,40
,豐原高中,0,0,2,0,0,2,1,0,0,0,0,1,6
,豐原高商,73,2,0,2,10,2,3,20,3,3,0,3,121
,霧峰農工,72,0,6,0,1,3,9,22,9,5,0,0,127
,總計,591,43,90,22,171,151,199,820,67,106,0,39,2299
