
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,大甲高工,81,1,1,0,0,1,7,42,4,5,0,1,143
,大甲高中,0,2,2,0,2,2,4,10,0,1,0,0,23
,大里高中,0,2,1,0,7,6,6,0,0,4,0,1,27
,大里高中,0,0,1,1,0,0,2,0,1,0,0,0,5
,大明高中,3,1,4,2,6,8,12,25,0,5,0,1,67
,中科實中,0,0,1,0,0,0,0,1,0,1,0,0,3
,中港高中,0,1,0,0,0,1,0,1,0,1,0,0,4
,文華高中,0,5,7,0,4,5,7,1,0,2,0,1,32
,弘文高中,0,0,0,0,2,1,0,0,0,1,0,0,4
,玉山高中,56,0,0,0,6,4,2,24,9,2,0,0,103
,立人高中,0,1,0,0,0,1,2,0,0,0,0,0,4
,光華高工,0,0,1,0,2,0,5,12,0,2,0,0,22
,后綜高中,0,0,0,0,1,1,0,2,0,1,0,1,6
,西苑高中,0,1,2,0,1,1,2,0,0,1,0,0,8
,沙鹿高工,70,1,3,0,4,4,9,34,7,2,0,1,135
,宜寧高中,0,0,0,0,2,1,3,3,0,1,0,0,10
,忠明高中,0,1,2,0,0,1,2,0,0,4,0,0,10
,明台高中,7,1,0,0,7,1,1,51,1,0,0,3,72
,明道高中,0,0,1,0,1,0,7,21,3,5,0,1,39
,明德女中,3,1,2,0,4,5,4,19,0,4,0,0,42
,東大附中,0,0,0,0,0,0,0,0,0,1,0,0,1
,東山高中,0,1,0,0,1,1,0,0,0,7,0,0,10
,東勢高工,35,2,1,0,2,0,7,48,4,3,0,2,104
,長億高中,0,0,0,0,2,0,0,2,0,2,0,0,6
,青年高中,8,0,0,0,2,10,11,38,3,3,0,3,78
,致用高中,7,0,1,0,3,7,3,26,2,1,0,1,51
,常春籐高中,0,0,0,0,1,0,0,1,0,1,0,0,3
,清水高中,0,0,3,0,1,2,2,0,0,2,0,0,10
,惠文高中,0,0,0,0,2,2,3,2,0,2,0,0,11
,華盛頓高中,0,0,1,0,0,0,0,0,0,0,0,0,1
,慈明高中,5,0,3,4,7,5,9,38,2,2,0,1,76
,新民高中,3,1,1,1,6,7,6,16,1,6,0,2,50
,新社高中,0,1,0,0,1,1,0,3,0,0,0,1,7
,葳格高中,1,0,0,0,1,0,3,1,1,0,0,0,7
,僑泰高中,17,1,5,3,10,4,13,67,3,1,0,1,125
,嘉陽高中,13,0,1,1,6,8,3,59,1,6,0,1,99
,臺中一中,0,6,2,0,7,7,7,3,1,13,0,1,47
,臺中二中,0,0,5,1,5,5,6,0,0,10,0,0,32
,臺中女中,0,0,4,0,5,3,4,0,1,0,0,2,19
,臺中技院附高商進校,0,0,0,1,3,0,0,0,0,0,0,0,4
,臺中家商,37,4,6,0,4,2,6,33,3,4,0,0,99
,臺中高工,54,3,6,0,4,5,15,71,4,4,0,2,168
,臺中高農,87,3,8,0,3,8,14,53,10,12,0,2,200
,臺中啟明學校附設高職進修學校,0,0,1,0,1,0,0,2,0,0,0,0,4
,衛道高中,0,0,0,0,0,1,0,0,0,0,0,0,1
,曉明女中,0,0,0,0,0,2,0,0,0,0,0,0,2
,嶺東高中,0,0,2,0,3,3,3,14,0,4,0,1,30
,豐原高中,0,3,3,0,0,3,0,0,0,0,0,1,10
,豐原高商,84,1,0,1,4,4,5,24,10,3,0,2,138
,霧峰農工,79,0,6,0,0,2,10,23,8,6,0,0,134
,總計,650,44,87,15,133,135,205,770,79,135,0,33,2286
