
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,大甲高工,83,0,3,0,0,0,1,7,40,2,4,0,0,140
,大甲高中,0,2,1,0,1,0,3,4,10,0,1,0,0,22
,大里高中,0,2,1,0,6,0,1,2,0,1,4,0,0,17
,大里高中,1,0,1,1,0,0,0,0,0,0,0,0,0,3
,大明高中,4,1,3,1,6,0,7,8,21,0,10,0,0,61
,中科實中,0,0,1,0,0,0,0,0,1,0,1,0,0,3
,中港高中,0,0,0,0,0,0,1,0,0,0,2,0,0,3
,文華高中,0,6,6,0,7,0,3,5,0,0,4,0,3,34
,弘文高中,0,0,0,0,1,0,0,1,0,0,2,0,0,4
,玉山高中,56,1,0,0,2,0,1,1,18,12,2,0,0,93
,立人高中,0,0,0,0,0,0,0,1,0,0,0,0,0,1
,光華高工,0,0,0,0,1,0,0,5,11,1,4,0,0,22
,后綜高中,0,0,1,1,3,0,1,1,3,0,1,0,0,11
,西苑高中,0,0,2,0,0,0,2,2,1,0,2,0,0,9
,沙鹿高工,70,0,4,0,3,0,2,12,41,9,3,0,1,145
,宜寧高中,3,0,0,0,0,0,0,3,1,0,1,0,0,8
,忠明高中,0,0,2,0,0,0,1,1,1,0,5,0,0,10
,明台高中,10,0,2,0,3,0,2,5,44,2,1,0,3,72
,明道高中,1,1,1,0,3,0,0,7,20,1,7,0,1,42
,明德女中,5,0,1,0,5,0,7,8,18,1,4,0,0,49
,東大附中,0,0,0,0,0,0,0,0,0,0,5,0,0,5
,東山高中,0,1,1,0,1,0,1,0,0,0,8,0,0,12
,東勢高工,39,1,0,0,1,0,0,11,43,3,4,0,0,102
,長億高中,0,0,0,0,0,0,1,1,1,0,1,0,0,4
,青年高中,12,0,1,0,4,0,7,11,36,4,6,0,3,84
,致用高中,13,0,2,1,6,1,4,2,34,2,2,0,2,69
,常春籐高中,0,0,0,0,1,0,0,0,1,0,2,0,0,4
,清水高中,0,2,2,0,1,0,1,0,0,0,3,0,0,9
,惠文高中,0,1,0,0,3,0,2,5,2,0,5,0,0,18
,華盛頓高中,0,0,0,0,0,0,0,1,0,0,0,0,0,1
,慈明高中,9,0,2,4,5,0,5,10,29,1,4,0,2,71
,新民高中,7,0,1,1,9,0,5,3,14,1,7,0,2,50
,新社高中,0,0,0,0,1,0,1,0,2,0,0,0,0,4
,葳格高中,1,0,0,1,1,0,2,4,1,0,4,0,0,14
,僑泰高中,15,1,2,0,6,0,5,12,46,2,2,0,1,92
,嘉陽高中,22,0,1,2,5,0,9,5,54,2,4,0,2,106
,臺中一中,0,6,6,0,3,0,6,8,2,0,15,0,0,46
,臺中二中,0,0,3,0,5,0,3,3,0,0,10,0,0,24
,臺中女中,0,1,3,1,8,0,2,3,0,0,1,0,1,20
,臺中技院附高商進校,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,臺中家商,40,3,6,1,2,0,1,8,31,2,4,0,0,98
,臺中高工,54,2,8,2,3,0,4,17,70,4,6,0,2,172
,臺中高農,91,3,7,1,1,0,4,11,56,14,8,0,2,198
,臺中啟明學校附設高職進修學校,1,0,0,0,1,0,0,0,1,0,0,0,0,3
,衛道高中,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,曉明女中,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,嶺東高中,4,0,2,1,1,0,2,7,15,0,4,0,0,36
,豐原高中,0,3,3,0,1,0,1,0,0,0,0,0,0,8
,豐原高商,76,3,0,0,4,0,5,3,23,7,2,0,1,124
,霧峰農工,77,0,4,0,0,0,2,7,23,8,7,0,1,129
,總計,694,40,83,18,116,1,106,205,714,79,172,0,27,2255
