
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,三民高中,0,1,1,0,0,0,0,1,0,0,0,0,3
,三重高中,0,0,1,0,1,1,0,1,0,3,0,0,7
,三重商工,95,3,4,0,7,3,0,8,8,3,0,1,132
,中和高中,0,0,4,0,0,2,0,0,0,1,0,1,8
,中華高中,0,0,0,0,1,1,1,4,1,2,0,1,11
,中華商海,2,0,0,0,0,0,0,5,0,0,0,1,8
,及人高中,0,0,0,0,2,1,0,0,0,0,0,0,3
,永平高中,0,0,0,1,0,0,0,0,0,3,0,0,4
,石碇高中,0,0,0,0,0,0,1,1,0,1,0,0,3
,光仁高中,0,0,0,0,0,0,0,0,0,1,0,0,1
,光華高商進修學校,2,0,0,0,1,0,0,0,0,0,0,0,3
,安康高中,0,0,1,0,1,1,0,1,0,0,0,0,4
,竹林高中,0,0,0,0,1,0,0,0,0,0,0,3,4
,秀峰高中,0,0,0,0,0,2,2,1,0,3,0,0,8
,明德高中,0,0,0,0,0,2,0,0,0,1,0,0,3
,東海高中,2,0,2,1,6,0,0,5,0,0,0,2,18
,林口高中,0,2,2,0,2,1,0,1,0,2,0,1,11
,板橋高中,0,10,0,0,4,4,0,0,0,3,0,2,23
,金山高中,0,0,1,0,1,0,0,0,0,0,0,0,2
,金陵女中,0,0,0,0,1,2,0,0,0,0,0,1,4
,南山高中,0,0,1,0,2,1,0,0,0,0,0,1,5
,南強工商,12,1,3,0,2,0,1,19,0,1,0,1,40
,恆毅高中,0,1,0,0,2,0,0,1,0,0,0,0,4
,徐匯高中,0,0,0,0,3,0,1,1,0,2,0,0,7
,格致高中,1,0,0,0,1,2,0,2,0,1,0,0,7
,泰山高中,0,3,5,0,3,1,3,6,1,1,0,0,23
,海山高工,79,2,2,0,1,3,1,7,6,7,0,0,108
,海山高中,0,0,1,0,0,0,0,2,0,2,0,0,5
,能仁家商,90,2,4,0,4,1,2,21,13,12,0,2,151
,國立三重高中,0,1,3,0,3,3,1,0,1,0,0,0,12
,崇義高中,1,0,0,0,1,0,0,0,0,2,0,0,4
,淡水商工,78,3,3,0,2,2,1,8,4,6,0,1,108
,淡江高中,1,0,0,0,2,3,1,2,0,1,0,0,10
,清水高中,0,2,0,0,1,3,0,0,1,0,0,0,7
,清傳高商,1,0,0,0,5,4,0,0,0,1,0,0,11
,莊敬工家,7,1,5,0,3,3,3,14,0,3,0,0,39
,復興商工,0,0,8,0,6,1,1,15,1,6,0,2,40
,智光商工,4,0,11,1,10,5,7,18,5,14,0,1,76
,華僑實驗高中,0,0,0,0,0,1,0,0,0,2,0,1,4
,開明工商,28,0,3,0,3,0,2,26,5,1,0,2,70
,新店高中,0,0,0,0,2,1,1,0,1,3,0,0,8
,新莊高中,0,0,4,0,6,2,0,0,1,2,0,1,16
,瑞芳高工,1,2,1,0,2,0,0,14,0,0,0,1,21
,聖心女中,0,0,0,0,0,0,0,0,0,1,0,0,1
,榖保家商,47,1,7,0,8,1,1,12,10,4,0,3,94
,樹人家商,6,3,2,0,6,3,0,4,0,1,0,1,26
,樹林高中,0,1,0,1,1,0,0,1,0,0,0,1,5
,豫章工商,4,1,7,1,4,6,2,10,2,3,0,0,40
,醒吾高中,3,0,1,1,3,1,2,2,2,1,0,1,17
,錦和高中,0,0,2,0,1,1,0,0,2,0,0,0,6
,辭修高中,0,0,0,0,1,0,0,0,0,0,0,0,1
,鶯歌高職,54,1,4,0,2,1,0,6,2,4,0,1,75
,總計,518,41,93,6,118,69,34,219,66,104,0,33,1301
