
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,三民高中,0,0,1,0,2,0,0,1,0,0,0,1,5
,三重高中,1,0,1,0,1,0,0,2,0,3,0,0,8
,三重商工,104,3,2,0,4,3,0,11,8,5,0,1,141
,中和高中,0,0,2,0,0,3,0,1,0,3,0,1,10
,中華高中,1,0,0,0,1,1,1,3,1,2,0,1,11
,中華商海,5,0,0,0,0,0,2,8,0,0,0,0,15
,丹鳳高中,0,0,0,0,1,0,0,1,0,0,0,0,2
,及人高中,0,0,0,0,2,0,0,0,0,0,0,0,2
,永平高中,0,0,0,1,0,1,0,0,0,3,0,0,5
,石碇高中,0,0,0,0,0,0,1,1,0,1,0,0,3
,光仁高中,0,0,0,0,0,0,0,0,0,1,0,0,1
,光華高商進修學校,1,0,1,0,1,0,0,0,0,0,0,0,3
,安康高中,0,0,1,0,1,0,0,0,0,0,0,0,2
,竹林高中,0,0,0,0,1,1,0,0,0,0,0,3,5
,秀峰高中,0,0,0,0,0,0,1,2,0,6,0,0,9
,明德高中,0,0,0,0,0,1,1,0,0,1,0,0,3
,東海高中,2,0,2,1,5,2,0,7,0,0,0,2,21
,林口高中,0,2,1,0,1,1,1,0,0,4,0,1,11
,板橋高中,0,10,0,0,5,2,2,0,2,5,0,1,27
,金山高中,0,0,0,0,1,1,0,0,0,1,0,0,3
,金陵女中,0,0,0,0,1,1,0,0,0,0,0,1,3
,南山高中,0,0,0,0,0,1,0,0,0,0,0,0,1
,南強工商,4,0,1,0,3,0,2,14,2,1,0,1,28
,恆毅高中,0,0,0,0,1,0,0,1,0,0,0,0,2
,徐匯高中,0,0,0,0,4,0,2,0,0,1,0,0,7
,格致高中,0,0,0,0,3,1,0,2,0,1,0,0,7
,泰山高中,0,2,9,0,1,1,2,8,0,1,0,1,25
,海山高工,74,0,1,0,1,2,0,13,7,5,0,1,104
,海山高中,0,0,1,0,1,0,0,5,0,1,0,0,8
,能仁家商,104,1,0,0,5,2,0,19,6,14,0,2,153
,國立三重高中,0,0,1,0,2,1,1,2,1,1,0,0,9
,崇義高中,2,0,0,0,0,0,0,1,0,0,0,0,3
,淡水商工,79,3,3,0,2,1,3,14,11,13,0,1,130
,淡江高中,0,0,0,0,2,3,1,1,0,1,0,1,9
,清水高中,1,2,0,0,1,2,0,1,1,0,0,0,8
,清傳高商,0,0,0,0,3,4,0,0,0,1,0,0,8
,莊敬工家,4,0,2,0,1,2,2,15,2,1,0,0,29
,復興商工,0,0,7,0,5,3,2,18,1,8,0,2,46
,智光商工,5,1,6,0,10,6,8,17,4,13,0,0,70
,華僑實驗高中,0,0,3,0,0,0,0,0,0,5,0,0,8
,開明工商,16,0,2,0,4,3,4,35,1,2,0,1,68
,新店高中,0,0,0,0,3,1,3,0,1,5,0,0,13
,新莊高中,0,0,2,0,5,1,0,1,0,5,0,0,14
,瑞芳高工,0,1,1,0,2,0,0,19,0,0,0,0,23
,聖心女中,0,0,0,0,0,0,0,0,0,1,0,0,1
,榖保家商,39,1,3,0,8,0,2,12,12,3,0,0,80
,樹人家商,5,2,3,0,4,2,0,6,1,1,0,1,25
,樹林高中,0,2,0,1,0,0,0,2,0,0,0,1,6
,豫章工商,0,1,3,3,3,6,1,11,2,7,0,0,37
,醒吾高中,3,0,2,1,4,6,2,2,2,2,0,0,24
,錦和高中,0,0,2,0,1,0,0,0,1,1,0,0,5
,雙溪高中,0,0,0,0,0,0,1,0,0,0,0,0,1
,鶯歌高職,66,1,3,0,4,1,0,10,5,4,0,2,96
,總計,516,32,66,7,110,66,45,266,71,133,0,26,1338
