
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,三民高中,1,0,0,0,3,0,0,1,1,0,3,0,0,9
,三重高中,0,0,0,0,3,0,1,1,0,0,1,0,0,6
,三重商工,120,1,1,0,4,0,1,5,16,5,20,0,0,173
,中和高中,0,0,2,0,6,0,5,2,3,0,5,0,1,24
,中華高中,2,0,4,0,6,0,1,1,8,0,3,0,2,27
,中華商海,0,0,0,0,0,0,0,0,5,0,0,0,0,5
,丹鳳高中,0,0,0,0,3,0,0,0,1,0,4,0,0,8
,永平高中,0,0,0,0,0,0,1,0,1,1,2,0,1,6
,石碇高中,3,0,0,0,0,0,0,1,0,1,3,0,0,8
,光仁高中,0,0,0,0,0,0,0,3,0,0,1,0,1,5
,光華高商進修學校,3,0,0,0,2,0,1,2,3,0,0,0,0,11
,安康高中,7,0,0,0,2,0,0,1,0,3,6,0,0,19
,竹林高中,0,0,0,0,1,0,0,0,0,1,1,0,0,3
,竹圍高中,0,0,0,0,0,0,0,0,0,0,2,0,0,2
,秀峰高中,0,0,0,0,1,0,0,1,1,1,2,0,0,6
,明德高中,0,0,1,0,5,0,2,1,1,2,3,0,0,15
,東海高中,6,0,0,0,4,0,3,1,25,0,11,0,1,51
,林口高中,0,1,1,0,0,0,1,1,2,0,5,0,1,12
,板橋高中,0,5,2,0,7,0,5,4,3,1,14,0,0,41
,金山高中,0,0,3,0,1,0,1,0,0,0,1,0,0,6
,南山高中,1,0,0,0,0,0,1,0,0,0,4,0,0,6
,南強工商,4,1,1,0,3,0,0,5,22,0,2,0,0,38
,恆毅高中,0,0,1,0,2,0,0,0,0,0,0,0,0,3
,格致高中,0,0,1,0,1,0,2,1,3,0,2,0,0,10
,泰山高中,0,0,4,0,1,0,4,3,24,1,15,0,0,52
,海山高中,0,3,1,0,1,0,1,0,3,1,3,0,0,13
,能仁家商,106,0,0,1,7,0,3,8,32,8,21,0,1,187
,崇光女中,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,崇義高中,0,0,0,0,0,0,2,1,2,0,0,0,0,5
,康橋實驗高中,0,0,0,0,0,0,0,0,2,0,2,0,0,4
,淡水商工,101,3,5,0,3,0,3,6,41,12,26,0,0,200
,淡江高中,0,1,1,0,0,0,0,0,1,0,2,0,0,5
,清水高中,0,2,1,0,1,0,2,0,2,0,2,0,0,10
,清傳高商,3,0,0,0,1,0,0,1,1,0,3,0,0,9
,莊敬工家,10,3,2,1,4,0,3,5,44,0,6,0,1,79
,復興商工,0,1,9,0,5,0,2,12,36,1,11,0,0,77
,智光商工,9,0,4,1,5,0,3,7,27,1,27,0,0,84
,華僑實驗高中,0,0,1,0,1,0,0,2,1,0,7,0,0,12
,開明工商,5,1,0,0,1,0,3,6,45,0,2,0,1,64
,新北高工,80,1,2,0,3,0,1,4,32,0,20,0,0,143
,新北高中(原國立三重),0,1,0,0,3,0,2,3,0,0,5,0,0,14
,新店高中,0,0,0,0,4,0,2,1,0,0,10,0,0,17
,新莊高中,0,1,1,0,4,0,2,0,1,1,9,0,2,21
,瑞芳高工,24,0,0,2,3,0,1,4,10,2,9,0,0,55
,榖保家商,47,0,3,0,6,0,5,9,38,5,13,0,3,129
,樹人家商,10,0,1,0,4,0,4,3,19,1,3,0,1,46
,樹林高中,9,0,1,0,1,0,2,1,1,5,5,0,0,25
,豫章工商,6,2,1,1,4,0,6,3,22,1,10,0,1,57
,醒吾高中,5,0,1,0,3,0,4,1,11,2,2,0,0,29
,錦和高中,0,0,1,0,0,0,2,0,0,0,5,0,0,8
,雙溪高中,1,0,0,0,0,0,0,0,1,0,1,0,0,3
,鶯歌工商,72,1,3,0,1,0,0,5,29,7,25,0,0,143
,總計,635,28,59,6,121,0,82,116,520,63,339,0,17,1986
