
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,三民高中,0,1,1,0,3,0,0,1,0,1,0,1,8
,三重高中,1,0,0,0,1,0,0,2,0,2,0,0,6
,三重商工,114,1,1,0,2,5,1,14,9,8,0,1,156
,中和高中,0,0,4,0,0,3,0,1,1,2,0,2,13
,中華高中,2,0,1,0,1,1,1,2,1,2,0,0,11
,中華商海,5,0,0,0,0,0,0,8,1,0,0,0,14
,丹鳳高中,0,0,1,0,1,0,0,1,0,0,0,0,3
,及人高中,0,0,0,0,1,0,0,0,0,1,0,0,2
,永平高中,0,1,0,0,0,3,1,1,0,1,0,0,7
,石碇高中,0,0,0,0,0,0,0,1,0,1,0,0,2
,光仁高中,0,0,0,0,0,0,1,0,0,2,0,0,3
,光華高商進修學校,1,0,1,0,1,0,0,0,0,0,0,0,3
,安康高中,0,0,1,0,1,0,0,0,0,2,0,0,4
,竹林高中,0,0,0,0,1,1,0,1,0,0,0,1,4
,秀峰高中,0,1,1,0,0,1,0,2,0,6,0,0,11
,明德高中,0,0,0,0,0,1,1,0,0,1,0,1,4
,東海高中,6,1,2,1,3,4,0,12,1,1,0,1,32
,林口高中,0,2,0,0,0,1,1,2,0,5,0,1,12
,板橋高中,0,8,0,0,7,2,3,0,2,6,0,1,29
,金山高中,0,0,1,0,0,1,0,0,1,2,0,0,5
,金陵女中,0,0,0,0,0,1,0,0,0,0,0,0,1
,南山高中,0,0,1,0,0,1,0,0,0,1,0,0,3
,南強工商,4,0,1,0,4,1,3,22,2,2,0,2,41
,恆毅高中,0,0,0,0,0,0,1,1,0,0,0,0,2
,徐匯高中,0,0,1,0,1,1,1,1,0,1,0,0,6
,格致高中,0,0,0,0,3,1,0,3,0,1,0,0,8
,泰山高中,0,1,11,0,1,1,1,9,0,3,0,1,28
,海山高工,73,0,1,0,2,2,2,18,6,7,0,1,112
,海山高中,0,0,1,0,2,1,0,8,0,0,0,0,12
,能仁家商,116,0,0,0,5,2,5,22,8,17,0,3,178
,國立三重高中,0,0,2,0,5,0,1,1,1,1,0,0,11
,康橋實驗高中,0,0,0,0,0,0,0,1,0,0,0,0,1
,淡水商工,101,3,3,1,3,1,5,20,12,12,0,0,161
,淡江高中,0,0,0,0,2,4,2,1,0,1,0,1,11
,清水高中,1,2,1,0,2,1,0,1,1,0,0,0,9
,清傳高商,0,0,0,0,1,2,1,0,0,2,0,0,6
,莊敬工家,6,0,2,0,1,2,2,16,2,2,0,0,33
,復興商工,1,0,6,0,5,5,4,25,1,7,0,3,57
,智光商工,4,2,5,0,7,7,6,20,1,11,0,1,64
,華僑實驗高中,0,0,3,0,0,2,0,2,0,8,0,0,15
,開明工商,7,0,2,2,3,4,3,38,0,2,0,1,62
,新店高中,0,0,1,0,5,1,2,0,1,5,0,0,15
,新莊高中,0,0,3,0,4,2,0,1,0,5,0,0,15
,瑞芳高工,5,1,1,0,2,1,1,14,0,3,0,0,28
,聖心女中,0,0,0,0,0,0,0,1,0,1,0,0,2
,榖保家商,38,0,5,0,10,1,2,20,11,6,0,0,93
,樹人家商,1,2,4,0,2,3,1,6,1,0,0,1,21
,樹林高中,0,1,1,0,3,0,0,2,0,0,0,0,7
,豫章工商,2,1,2,3,3,5,1,18,2,6,0,1,44
,醒吾高中,2,0,3,0,3,6,1,1,2,3,0,0,21
,錦和高中,0,0,3,0,3,1,1,0,0,1,0,0,9
,辭修高中,0,0,0,0,0,0,0,1,0,0,0,0,1
,鶯歌高職,73,0,2,0,4,0,0,10,6,6,0,1,102
,總計,563,28,79,7,108,82,55,331,73,157,0,25,1508
