
,教育階段：高中職,製表日期：2019/03/20
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,三民高中,1,0,0,1,1,0,0,1,1,0,2,0,0,7
,三重高中,0,0,0,0,0,0,1,0,2,1,2,0,0,6
,三重商工,109,2,3,2,1,2,4,10,45,3,34,0,0,215
,中和高中,0,1,0,0,2,1,5,5,2,0,9,0,0,25
,中華高中,1,0,3,0,0,0,0,1,7,0,2,0,0,14
,中華商海,0,0,0,0,0,0,0,1,7,0,1,0,0,9
,丹鳳高中,1,0,1,1,1,1,4,1,3,0,5,0,0,18
,及人高中,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,北大高中,0,2,2,0,1,2,3,4,2,0,7,0,1,24
,永平高中,0,1,2,0,4,1,5,10,2,0,6,0,0,31
,石碇高中,24,0,0,0,0,0,1,1,5,1,5,0,0,37
,光仁高中,0,0,0,0,0,0,0,1,2,0,4,0,0,7
,光復高中,22,0,1,0,1,2,4,1,3,0,10,0,0,44
,光華高商進修學校,0,0,0,0,1,0,0,0,8,0,1,0,0,10
,安康高中,19,0,1,0,0,1,0,1,2,9,10,0,0,43
,竹林高中,0,2,0,0,0,0,0,1,1,0,5,0,0,9
,竹圍高中,0,0,0,1,0,0,1,1,6,0,6,0,0,15
,秀峰高中,0,0,0,0,1,0,0,1,6,0,5,0,0,13
,明德高中,0,0,0,0,2,1,1,1,6,0,4,0,0,15
,東海高中,9,0,3,3,1,0,0,8,60,0,12,0,1,97
,林口高中,0,0,0,0,0,2,3,1,4,1,7,0,1,19
,板橋高中,0,3,7,2,4,6,5,6,3,0,33,0,0,69
,金山高中,0,1,0,1,0,0,0,0,10,0,2,0,0,14
,金陵女中,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,南山高中,0,0,1,0,1,0,1,1,1,0,3,0,0,8
,南強工商,5,0,0,1,2,0,1,2,19,0,1,0,0,31
,恆毅高中,0,0,0,0,1,0,0,1,1,0,1,0,0,4
,徐匯高中,0,0,0,1,1,0,0,1,2,0,7,0,0,12
,時雨高中,0,1,0,0,0,0,0,0,0,0,0,0,0,1
,泰山高中,36,0,4,1,5,0,1,9,30,1,19,0,1,107
,海山高中,0,1,1,0,4,0,1,3,1,0,8,0,1,20
,能仁家商,83,1,3,0,1,3,2,12,69,6,27,0,1,208
,崇光女中,0,0,1,0,0,0,0,0,0,0,0,0,0,1
,崇義高中,3,0,0,0,0,0,0,0,4,0,0,0,0,7
,康橋實驗高中,0,0,0,0,0,0,0,1,0,0,2,0,0,3
,淡水商工,88,0,2,6,4,2,1,13,55,0,38,0,2,211
,淡江高中,0,0,0,0,0,1,1,2,3,0,1,0,0,8
,清水高中,10,1,0,0,1,2,1,0,1,8,7,0,0,31
,清傳高商,0,1,0,0,1,1,0,2,2,0,1,0,0,8
,莊敬工家,2,1,2,2,2,0,0,18,79,2,13,0,3,124
,復興商工,3,0,5,0,4,1,5,7,40,0,36,0,1,102
,智光商工,10,1,6,2,0,2,5,15,52,0,25,0,1,119
,華僑高中,1,0,2,0,7,0,2,3,6,1,9,0,0,31
,開明工商,2,0,0,0,1,1,0,4,35,0,4,0,0,47
,新北高工,114,2,6,2,4,2,2,17,64,0,44,0,0,257
,新北高中,0,0,2,1,3,2,0,3,5,0,5,0,0,21
,新店高中,0,2,1,0,2,1,1,3,5,1,15,0,0,31
,新莊高中,0,1,2,1,2,1,3,3,4,0,16,0,0,33
,瑞芳高工,24,0,0,0,2,1,1,5,24,0,17,0,1,75
,裕德高中,0,0,0,0,0,1,0,0,0,0,0,0,0,1
,樟樹國際實創高中,0,0,1,0,0,1,1,0,6,0,7,0,0,16
,穀保家商,13,0,1,2,3,4,1,12,72,0,7,0,2,117
,鄭義燕學校財團法人新北市私立格致高中,0,0,0,0,3,0,0,1,3,0,4,0,0,11
,樹人家商,9,0,3,3,2,1,4,2,56,0,3,0,1,84
,樹林高中,13,1,0,0,2,2,0,2,1,11,16,0,0,48
,豫章工商,3,1,0,2,0,0,1,1,40,1,16,0,0,65
,醒吾高中,0,0,2,0,0,0,0,3,18,0,3,0,1,27
,錦和高中,0,0,0,0,1,0,3,0,0,0,4,0,0,8
,龍騰學校財團法人新北市林口康橋國際高中,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,雙溪高中,0,0,0,0,0,0,0,0,1,0,1,0,0,2
,辭修高中,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,鶯歌工商,62,2,5,5,7,2,3,9,35,3,34,0,1,168
,總計,667,28,73,40,86,50,79,211,921,49,569,0,19,2792
