
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,大華高中,0,0,0,0,1,0,0,0,0,0,0,0,1
,大興高中,6,1,1,0,8,2,4,17,0,1,0,1,41
,中壢家商,0,1,4,1,2,0,0,8,0,0,0,1,17
,中壢高中,0,5,3,0,2,1,0,0,1,1,0,5,18
,中壢高商,38,0,1,0,5,1,1,13,4,5,0,3,71
,內壢高中,0,2,2,0,1,0,0,0,0,2,0,0,7
,六和高中,0,0,1,0,1,2,0,2,0,2,0,0,8
,方曙商工,39,0,0,0,0,0,1,7,3,1,0,1,52
,平鎮高中,0,0,2,0,4,0,1,0,0,2,0,0,9
,永平工商,7,2,1,0,4,1,3,31,3,4,0,4,60
,永豐高中,1,0,3,0,2,0,0,1,0,1,0,0,8
,光啟高中,3,2,3,0,6,2,6,13,2,5,0,1,43
,成功工商,9,3,3,0,7,5,3,21,3,1,0,7,62
,至善高中,5,0,0,0,5,1,0,3,1,0,0,1,16
,育達高中,9,0,5,0,10,6,3,16,2,2,0,5,58
,武陵高中,0,4,5,0,9,5,1,1,0,8,0,3,36
,治平高中,3,0,1,0,7,1,3,7,1,1,0,4,28
,南崁高中,0,0,0,0,1,0,0,2,1,5,0,1,10
,泉僑高中,11,0,1,0,1,1,0,0,3,1,0,1,19
,振聲高中,0,1,2,0,11,3,2,10,1,2,0,0,32
,桃園高中,0,0,5,0,4,0,1,0,0,1,0,3,14
,桃園農工,63,1,2,0,3,2,1,19,10,10,0,2,113
,啟英高中,8,0,3,1,8,0,4,29,3,4,0,2,62
,清華高中,54,1,4,0,10,0,0,16,4,0,0,2,91
,復旦高中,0,0,0,0,1,0,0,0,0,1,0,1,3
,陽明高中,0,0,3,0,4,1,0,0,1,1,0,3,13
,新興高中,0,0,3,0,10,5,1,11,1,0,0,1,32
,楊梅高中,0,0,0,0,3,0,0,4,1,1,0,0,9
,龍潭農工,25,0,5,0,1,0,0,9,3,2,0,2,47
,總計,281,23,63,2,131,39,35,240,48,64,0,54,980
