
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,大溪高中,0,0,0,0,0,1,0,0,0,0,0,0,1
,大興高中,5,1,0,0,4,2,3,11,0,1,0,0,27
,中壢家商,0,0,4,1,3,1,0,9,0,1,0,0,19
,中壢高中,0,5,2,0,2,1,0,0,1,2,0,5,18
,中壢高商,49,1,1,0,3,1,1,16,4,4,0,4,84
,內壢高中,0,2,2,0,3,1,0,0,0,3,0,0,11
,六和高中,0,0,2,0,1,0,0,1,0,2,0,0,6
,方曙商工,36,0,0,0,1,0,1,7,5,2,0,2,54
,平鎮高中,0,0,2,0,3,0,1,0,0,2,0,0,8
,永平工商,7,2,1,0,5,0,4,29,1,5,0,5,59
,永豐高中,1,0,2,0,2,0,0,0,0,0,0,1,6
,光啟高中,3,1,1,0,4,3,7,15,3,5,0,2,44
,成功工商,7,3,3,0,4,4,4,17,5,1,0,6,54
,至善高中,4,0,0,0,6,0,0,6,1,0,0,1,18
,育達高中,5,0,2,0,5,2,3,12,3,0,0,5,37
,武陵高中,0,3,5,0,8,3,1,0,0,8,0,9,37
,治平高中,1,0,1,0,6,1,0,9,1,0,0,2,21
,南崁高中,0,0,1,0,1,0,0,2,0,6,0,0,10
,泉僑高中,0,0,0,0,1,1,0,0,0,0,0,2,4
,振聲高中,0,1,2,0,9,1,1,8,3,4,0,2,31
,桃園高中,0,1,3,0,5,0,0,0,0,2,0,4,15
,桃園農工,79,2,3,2,2,2,1,20,8,12,0,5,136
,啟英高中,24,1,0,2,4,0,3,26,6,6,0,1,73
,清華高中,66,0,4,0,4,1,2,18,4,1,0,3,103
,復旦高中,0,0,0,0,1,0,1,0,0,1,0,0,3
,陽明高中,0,1,4,0,4,0,0,0,0,2,0,3,14
,新興高中,0,1,3,0,7,4,1,12,1,1,0,2,32
,楊梅高中,0,0,1,0,4,0,0,4,2,1,0,0,12
,壽山高中,0,0,0,0,0,0,0,3,0,1,0,0,4
,龍潭農工,49,1,6,0,1,0,0,10,8,3,0,2,80
,總計,336,26,55,5,103,29,34,235,56,76,0,66,1021
