
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,大園國際高中,0,1,1,0,4,0,1,3,0,0,0,0,3,13
,大溪高中,0,0,0,1,3,0,0,2,1,0,1,0,0,8
,大興高中,18,1,2,0,4,0,0,2,21,0,4,0,3,55
,中央大學附屬中壢高中,0,3,5,0,0,2,2,4,4,2,10,0,2,34
,中壢家商,0,1,3,1,0,0,0,6,18,0,3,0,0,32
,中壢高商,76,0,3,0,2,2,0,6,17,10,8,0,2,126
,內壢高中,0,2,1,0,5,0,1,4,4,1,7,0,3,28
,六和高中,0,0,0,0,1,0,0,4,2,0,3,0,0,10
,方曙商工,29,0,0,0,0,0,0,3,14,3,0,0,1,50
,平鎮高中,0,0,2,0,5,0,0,3,4,1,7,0,2,24
,永平工商,10,4,6,0,1,0,1,19,96,3,6,0,4,150
,永豐高中,0,0,2,1,2,0,0,2,1,0,1,0,0,9
,光啟高中,11,0,0,2,1,0,4,5,33,0,2,0,0,58
,成功工商,16,0,2,0,5,0,2,10,37,2,5,0,3,82
,至善高中,10,0,0,0,0,0,0,2,12,0,0,0,0,24
,育達高中,12,0,4,0,7,0,1,12,44,3,6,0,4,93
,武陵高中,0,1,4,0,9,0,6,10,1,1,12,0,1,45
,治平高中,6,0,0,0,4,0,2,7,41,0,1,0,2,63
,南崁高中,1,0,2,0,4,0,0,5,2,1,3,0,1,19
,泉僑高中,2,0,0,1,0,0,0,3,7,0,1,0,1,15
,振聲高中,3,0,1,0,3,1,2,7,12,0,15,0,1,45
,桃園高中,0,4,3,0,6,1,1,7,2,0,11,0,3,38
,桃園農工,73,1,2,1,4,0,2,27,63,9,24,0,1,207
,啟英高中,46,1,8,0,4,0,2,11,108,3,8,0,3,194
,清華高中,97,0,0,0,3,0,1,2,25,10,5,0,0,143
,復旦高中,0,1,0,0,1,0,0,1,1,0,1,0,0,5
,陽明高中,0,0,3,1,4,0,1,5,2,1,9,0,0,26
,新興高中,3,0,3,0,5,1,2,20,45,5,10,0,8,102
,楊梅高中,0,0,3,0,3,1,2,7,6,0,5,0,1,28
,壽山高中,0,0,1,0,1,0,1,9,16,2,11,0,1,42
,龍潭高中,73,0,1,0,1,0,1,8,20,13,9,0,0,126
,觀音高中,0,0,0,0,0,0,0,4,4,0,0,0,0,8
,總計,486,20,62,8,92,8,35,220,663,70,188,0,50,1902
