
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,大園國際高中,0,1,1,0,3,0,0,5,1,0,0,0,1,12
,大溪高中,0,0,0,0,2,0,1,1,2,0,0,0,0,6
,大興高中,24,1,1,0,4,0,0,6,35,0,7,0,4,82
,中央大學附屬中壢高中,0,2,5,0,5,2,1,4,5,2,8,0,2,36
,中壢家商,0,0,5,1,0,0,0,4,13,0,5,0,0,28
,中壢高商,76,1,1,0,2,1,1,10,14,12,11,0,2,131
,內壢高中,1,2,2,0,2,0,1,8,8,1,10,0,4,39
,六和高中,0,0,0,0,2,0,0,2,3,0,5,0,0,12
,方曙商工,34,0,0,0,0,0,0,5,21,1,1,0,0,62
,平鎮高中,0,2,2,0,4,0,0,2,7,1,11,0,0,29
,永平工商,14,3,5,1,1,0,2,30,173,5,9,0,4,247
,永豐高中,0,0,2,1,2,0,0,0,1,0,1,0,0,7
,光啟高中,9,0,0,2,3,0,3,9,47,0,3,0,1,77
,成功工商,43,0,2,1,4,0,2,16,60,4,11,0,1,144
,至善高中,9,0,0,1,1,0,0,3,27,0,2,0,0,43
,育達高中,15,0,3,0,4,0,1,19,71,2,11,0,1,127
,武陵高中,0,3,5,0,8,1,4,17,4,1,13,0,5,61
,治平高中,10,0,1,0,4,0,3,10,64,1,3,0,2,98
,南崁高中,1,0,1,1,7,0,0,4,2,1,5,0,0,22
,泉僑高中,3,0,0,1,0,0,0,3,7,0,1,0,1,16
,振聲高中,2,0,3,0,3,0,2,12,21,1,12,0,2,58
,桃園少年輔育院,3,0,0,0,0,0,0,3,0,0,0,0,0,6
,桃園高中,0,4,7,0,4,1,0,7,4,0,12,0,4,43
,桃園農工,80,1,3,1,4,0,1,30,73,13,25,0,1,232
,啟英高中,53,1,9,2,7,0,0,23,170,3,18,0,5,291
,清華高中,90,0,1,1,5,0,2,5,40,10,7,0,0,161
,復旦高中,0,0,0,1,0,1,0,1,1,0,1,0,0,5
,陽明高中,0,0,4,1,0,1,2,9,4,1,12,0,0,34
,新興高中,3,1,1,0,7,2,3,17,64,2,11,0,5,116
,楊梅高中,0,0,3,0,4,0,0,5,7,1,6,0,1,27
,壽山高中,0,0,1,0,1,1,1,7,21,2,8,0,3,45
,龍潭高中,75,0,1,0,2,0,0,8,28,10,7,0,1,132
,觀音高中,1,0,0,0,0,0,0,4,8,0,1,0,0,14
,總計,546,22,69,15,95,10,30,289,1006,74,237,0,50,2443
