
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,大園國際高中,0,0,1,0,3,2,2,0,0,2,0,2,12
,大溪高中,0,1,0,1,1,1,0,0,0,0,0,0,4
,大興高中,10,0,3,1,4,0,4,17,0,0,0,3,42
,中壢家商,0,1,5,0,1,0,4,19,0,2,0,2,34
,中壢高中,0,4,2,1,2,2,6,1,3,7,0,5,33
,中壢高商,76,0,3,0,6,0,7,16,9,7,0,3,127
,內壢高中,0,0,1,0,3,0,2,4,2,10,0,0,22
,六和高中,0,0,1,0,1,0,0,3,0,1,0,0,6
,方曙商工,28,0,0,0,1,1,2,11,6,3,0,1,53
,平鎮高中,0,0,2,0,6,1,7,1,0,5,0,4,26
,永平工商,6,1,3,0,2,0,5,53,1,5,0,1,77
,永豐高中,0,1,0,0,0,0,1,4,0,1,0,0,7
,光啟高中,11,1,1,2,7,3,7,25,0,1,0,2,60
,成功工商,11,0,3,0,4,1,3,33,0,7,0,4,66
,至善高中,5,0,1,0,3,0,1,9,0,0,0,1,20
,育達高中,7,0,10,0,7,1,6,31,2,5,0,10,79
,武陵高中,0,2,8,1,5,2,8,0,0,5,0,5,36
,治平高中,5,0,1,1,4,2,7,18,0,2,0,1,41
,南崁高中,0,0,1,1,1,0,2,8,1,0,0,0,14
,泉僑高中,0,0,1,1,2,0,2,2,0,2,0,0,10
,振聲高中,1,0,3,1,3,1,5,11,0,8,0,4,37
,桃園高中,0,3,3,0,5,0,4,2,0,7,0,1,25
,桃園農工,75,2,1,1,3,0,13,37,12,14,0,1,159
,啟英高中,47,2,4,0,12,1,8,67,9,4,0,8,162
,清華高中,94,2,3,0,7,0,4,28,7,4,0,2,151
,復旦高中,0,1,0,0,0,0,0,1,0,0,0,0,2
,陽明高中,0,2,3,0,4,0,3,0,0,8,0,2,22
,新興高中,1,3,6,1,11,1,10,38,2,6,0,7,86
,楊梅高中,0,0,3,0,3,1,2,8,2,2,0,2,23
,壽山高中,0,1,1,0,4,0,7,2,0,8,0,0,23
,縣立觀音高中,0,0,0,0,0,0,0,1,0,0,0,0,1
,龍潭農工,76,1,4,0,0,1,7,24,10,10,0,0,133
,總計,453,28,78,12,115,21,139,474,66,136,0,71,1593
