
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,世界高中,39,0,1,0,2,0,1,7,76,6,6,0,0,138
,光復高中,33,1,1,0,2,0,0,12,181,4,12,0,1,247
,成德高中,1,0,0,0,0,0,1,0,9,0,2,0,0,13
,亞太美國學校,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,建功高中,0,0,0,0,0,0,1,8,7,0,13,0,0,29
,科學工業園區高中,0,1,2,0,0,0,1,1,0,0,6,0,0,11
,香山高中,1,0,1,0,3,0,2,3,20,0,1,0,0,31
,新竹女中,0,2,1,0,1,0,3,3,0,2,4,0,0,16
,新竹高工,64,1,3,0,0,0,2,10,49,6,16,0,1,152
,新竹高中,0,1,0,0,1,1,2,7,3,0,13,0,2,30
,新竹高商,1,2,1,0,4,0,4,8,36,1,14,0,0,71
,磐石高中,0,0,0,0,2,0,0,1,21,2,1,0,0,27
,曙光女中,0,0,0,0,1,0,0,1,6,0,0,0,1,9
,總計,139,8,10,0,16,1,17,61,408,21,89,0,5,775
