
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,世界高中,43,0,1,0,2,0,2,5,87,6,5,0,0,151
,光復高中,33,1,0,1,4,0,1,6,158,5,8,0,0,217
,成德高中,1,0,1,0,0,0,0,1,10,0,2,0,0,15
,建功高中,0,1,0,0,1,0,1,5,6,0,14,0,0,28
,科學工業園區高中,0,1,3,0,1,0,1,1,1,0,5,0,0,13
,香山高中,0,0,1,0,2,0,1,3,20,0,2,0,0,29
,新竹女中,0,2,2,0,4,0,2,3,1,2,4,0,0,20
,新竹高工,65,2,2,0,0,0,1,7,48,4,12,0,1,142
,新竹高中,0,2,1,0,1,1,2,6,3,0,9,0,1,26
,新竹高商,1,3,1,0,4,0,4,7,38,1,11,0,0,70
,磐石高中,0,0,0,0,1,0,0,0,19,2,1,0,0,23
,曙光女中,0,0,0,0,0,0,0,1,2,0,0,0,0,3
,總計,143,12,12,1,20,1,15,45,393,20,73,0,2,737
