
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,世界高中,64,2,1,1,3,1,2,79,5,6,0,0,164
,光復高中,25,0,1,1,11,6,2,100,3,0,0,3,152
,成德高中,0,0,0,0,0,0,0,1,0,0,0,0,1
,亞太美國學校,0,0,0,0,0,0,0,1,0,0,0,0,1
,建功高中,0,1,0,1,2,0,1,2,0,1,0,1,9
,科學工業園區高中,0,0,1,0,1,0,0,2,1,1,0,0,6
,香山高中,1,1,1,0,1,1,1,14,0,3,0,2,25
,新竹女中,0,1,0,2,4,1,0,0,0,0,0,0,8
,新竹高工,93,0,1,0,0,1,8,25,22,10,0,3,163
,新竹高中,0,3,3,0,2,4,5,5,0,5,0,1,28
,新竹高商,0,0,4,0,0,1,2,36,1,0,0,1,45
,磐石高中,0,0,0,0,1,1,0,19,0,1,0,0,22
,曙光女中,0,0,1,0,0,0,0,0,0,0,0,0,1
,總計,183,8,13,5,25,16,21,284,32,27,0,11,625
