
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,世界高中,26,0,1,0,0,0,2,6,81,5,7,0,0,128
,光復高中,34,2,2,0,0,1,3,18,218,2,17,0,2,299
,成德高中,0,0,0,0,0,0,1,1,12,0,0,0,0,14
,建功高中,0,0,3,0,1,0,0,5,3,0,12,0,0,24
,科學工業園區高中,0,0,2,0,1,0,2,2,0,0,12,0,0,19
,香山高中,0,1,1,0,1,3,0,0,17,0,6,0,0,29
,新竹女中,0,0,2,0,2,0,5,4,1,1,3,0,0,18
,新竹高工,70,1,1,0,0,0,1,14,31,5,24,0,1,148
,新竹高中,0,0,2,0,4,1,2,5,2,0,11,0,2,29
,新竹高商,0,1,3,0,1,3,4,3,27,0,16,0,0,58
,磐石高中,0,0,0,0,2,0,0,1,22,0,6,0,0,31
,曙光女中,0,0,0,0,0,1,1,0,6,0,0,0,0,8
,總計,130,5,17,0,12,9,21,59,420,13,114,0,5,805
