
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,世界高中,56,1,3,1,1,1,1,71,3,6,0,2,146
,光復高中,36,0,2,2,6,5,5,86,1,3,0,2,148
,成德高中,0,0,0,0,3,1,0,0,0,1,0,0,5
,建功高中,0,1,0,0,4,0,0,1,0,3,0,0,9
,科學工業園區高中,0,1,1,0,0,0,0,0,1,0,0,0,3
,香山高中,13,0,0,0,1,2,2,13,2,1,0,2,36
,新竹女中,0,0,0,2,4,0,0,0,0,0,0,1,7
,新竹高工,84,0,1,0,0,0,3,25,13,8,0,3,137
,新竹高中,0,3,2,0,8,6,1,1,0,4,0,0,25
,新竹高商,1,0,3,0,1,3,0,33,1,0,0,1,43
,磐石高中,3,0,0,0,1,2,2,11,0,0,0,0,19
,曙光女中,0,0,0,0,0,0,0,2,0,0,0,0,2
,總計,193,6,12,5,29,20,14,243,21,26,0,11,580
