
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,世界高中,56,1,3,1,1,1,1,72,3,6,0,2,147
,光復高中,36,0,2,2,6,5,5,88,1,3,0,2,150
,成德高中,0,0,0,0,3,1,0,0,0,1,0,0,5
,建功高中,0,1,0,0,4,1,0,1,0,3,0,0,10
,科學工業園區高中,0,1,1,0,0,0,0,0,1,0,0,0,3
,香山高中,14,0,0,0,1,2,2,13,2,2,0,2,38
,新竹女中,0,0,0,2,4,0,0,0,0,0,0,1,7
,新竹高工,86,0,1,0,0,0,3,25,13,8,0,3,139
,新竹高中,0,3,2,0,8,6,1,1,0,4,0,0,25
,新竹高商,1,0,3,0,1,3,0,35,1,0,0,1,45
,磐石高中,3,0,0,0,1,2,2,10,0,0,0,0,18
,曙光女中,0,0,0,0,0,0,0,2,0,0,0,0,2
,總計,196,6,12,5,29,21,14,247,21,27,0,11,589
