
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,世界高中,56,1,0,0,3,0,3,4,83,7,5,0,0,162
,光復高中,35,0,0,0,9,0,7,1,114,6,1,0,3,176
,成德高中,0,0,1,0,0,0,0,0,3,0,1,0,0,5
,建功高中,0,2,0,1,1,0,0,2,1,0,5,0,1,13
,科學工業園區高中,0,0,1,0,2,0,1,1,3,0,3,0,0,11
,香山高中,0,0,2,0,3,0,1,1,12,0,2,0,0,21
,新竹女中,0,1,1,0,6,0,1,1,1,0,1,0,0,12
,新竹高工,89,1,1,0,0,0,1,7,34,16,10,0,0,159
,新竹高中,0,2,3,0,1,0,3,4,4,0,6,0,2,25
,新竹高商,0,1,2,0,1,0,2,2,32,0,2,0,1,43
,新竹荷蘭國際學校,0,0,0,0,0,0,0,0,1,0,0,0,0,1
,磐石高中,0,0,0,0,0,0,1,0,23,0,0,0,0,24
,曙光女中,0,0,1,0,0,0,1,0,1,0,0,0,0,3
,總計,180,8,12,1,26,0,21,23,312,29,36,0,7,655
