
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,世界高中,54,2,2,1,1,1,1,71,2,5,0,1,141
,光復高中,27,0,1,2,9,6,2,88,0,2,0,3,140
,成德高中,0,0,0,0,3,1,0,0,0,1,0,0,5
,亞太美國學校,0,0,0,0,0,0,0,1,0,0,0,0,1
,建功高中,0,1,0,0,3,1,2,2,0,3,0,2,14
,科學工業園區高中,0,0,1,0,1,0,0,1,1,0,0,0,4
,香山高中,13,0,0,0,1,1,1,11,2,4,0,2,35
,新竹女中,0,1,0,2,4,1,0,0,0,0,0,0,8
,新竹高工,95,0,1,0,0,1,7,24,24,11,0,3,166
,新竹高中,0,4,3,0,6,8,4,3,0,4,0,1,33
,新竹高商,1,0,5,0,2,2,2,37,1,0,0,1,51
,磐石高中,1,0,0,0,1,2,0,9,0,1,0,0,14
,曙光女中,0,0,1,0,0,0,1,1,0,0,0,0,3
,總計,191,8,14,5,31,24,20,248,30,31,0,13,615
