
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,世界高中,60,2,1,1,3,1,2,74,5,5,0,0,154
,光復高中,26,0,1,1,10,6,2,103,3,0,0,4,156
,亞太美國學校,0,0,0,0,0,0,0,1,0,0,0,0,1
,建功高中,0,2,0,1,2,0,1,2,0,1,0,1,10
,科學工業園區高中,0,0,1,0,1,0,0,2,1,1,0,0,6
,香山高中,0,0,1,0,1,1,1,14,0,3,0,2,23
,新竹女中,0,1,0,2,4,1,0,0,0,0,0,0,8
,新竹高工,92,0,1,0,0,1,6,26,22,10,0,3,161
,新竹高中,0,3,3,0,2,4,6,5,0,5,0,2,30
,新竹高商,0,0,4,0,0,3,3,35,1,0,0,1,47
,磐石高中,0,0,0,0,1,1,0,17,0,1,0,0,20
,曙光女中,0,0,1,0,0,0,0,0,0,0,0,0,1
,總計,178,8,13,5,24,18,21,279,32,26,0,13,617
