
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,世界高中,55,1,3,1,1,1,1,77,4,6,0,2,152
,光復高中,34,0,2,2,6,5,5,89,1,3,0,2,149
,成德高中,0,0,0,0,3,1,0,0,0,1,0,0,5
,亞太美國學校,0,0,0,0,0,0,0,1,0,0,0,0,1
,建功高中,0,1,0,0,4,1,1,1,0,3,0,0,11
,科學工業園區高中,0,1,1,0,0,0,0,0,1,0,0,0,3
,香山高中,15,0,0,0,0,2,2,14,2,2,0,2,39
,新竹女中,0,0,0,1,3,0,0,0,0,0,0,1,5
,新竹高工,88,0,1,0,0,0,4,25,13,8,0,3,142
,新竹高中,0,3,2,0,8,6,1,1,0,3,0,0,24
,新竹高商,1,0,3,0,1,3,0,34,1,0,0,1,44
,磐石高中,3,0,0,0,1,2,2,11,0,0,0,0,19
,曙光女中,0,0,0,0,0,0,0,2,0,0,0,0,2
,總計,196,6,12,4,27,21,16,255,22,26,0,11,596
