
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,世界高中,55,1,2,0,1,1,1,56,3,4,0,3,127
,光復高中,37,0,2,1,5,2,1,75,2,4,0,3,132
,成德高中,0,0,0,0,3,1,0,4,0,3,0,0,11
,建功高中,0,0,1,0,2,1,2,4,0,1,0,0,11
,科學工業園區高中,0,1,0,0,0,0,0,0,0,0,0,0,1
,香山高中,14,0,0,0,0,2,2,13,2,1,0,0,34
,新竹女中,0,1,1,0,4,1,0,0,1,0,0,1,9
,新竹高工,87,0,1,0,0,0,1,24,7,7,0,0,127
,新竹高中,0,1,2,0,8,7,1,0,0,0,0,0,19
,新竹高商,2,0,1,0,1,1,0,20,0,0,0,1,26
,磐石高中,3,0,0,1,0,2,1,8,0,1,0,1,17
,曙光女中,0,0,0,0,0,0,0,2,0,0,0,0,2
,總計,198,4,10,2,24,18,9,206,15,21,0,9,516
