
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,世界高中,33,0,1,0,0,0,2,6,78,6,7,0,0,133
,光復高中,32,3,1,0,2,0,2,12,192,5,18,0,2,269
,成德高中,1,0,0,0,0,0,1,1,10,0,0,0,0,13
,亞太美國學校,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,建功高中,0,0,3,0,1,0,0,9,5,0,15,0,0,33
,科學工業園區高中,0,1,2,0,0,0,1,2,0,0,10,0,0,16
,香山高中,1,1,2,0,1,2,0,3,19,0,3,0,0,32
,新竹女中,0,1,2,0,1,0,5,4,0,2,4,0,0,19
,新竹高工,62,0,4,0,1,0,2,13,39,6,19,0,2,148
,新竹高中,0,1,0,0,1,1,2,6,2,0,13,0,3,29
,新竹高商,1,2,1,1,2,2,5,4,26,2,18,0,0,64
,磐石高中,0,0,0,0,3,0,0,2,21,2,3,0,0,31
,曙光女中,0,0,0,0,0,1,1,1,6,0,0,0,0,9
,總計,130,9,16,1,12,6,21,63,398,23,111,0,7,797
