
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,世界高中,57,1,2,0,1,4,1,58,2,4,0,3,133
,光復高中,39,0,2,1,4,3,2,76,2,4,0,3,136
,成德高中,0,0,0,0,3,1,0,4,0,3,0,0,11
,建功高中,0,0,1,0,2,1,2,4,0,1,0,0,11
,科學工業園區高中,0,1,0,0,0,0,0,0,0,0,0,0,1
,香山高中,14,0,0,0,0,2,2,13,2,1,0,0,34
,新竹女中,0,1,1,0,4,1,0,0,1,0,0,1,9
,新竹高工,90,0,1,0,0,0,1,23,7,7,0,0,129
,新竹高中,0,1,2,0,8,7,1,0,0,0,0,0,19
,新竹高商,2,0,1,1,1,0,0,21,0,0,0,1,27
,磐石高中,3,0,0,1,0,2,1,8,0,1,0,1,17
,曙光女中,0,0,0,0,0,0,0,2,0,0,0,0,2
,總計,205,4,10,3,23,21,10,209,14,21,0,9,529
