
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,公東高工,9,0,0,1,2,0,1,41,0,0,0,1,55
,台東大學附中,1,0,0,0,0,0,0,1,0,0,0,0,2
,台東女中,0,1,0,0,1,1,0,1,0,0,0,0,4
,台東高中,0,0,0,0,2,0,0,2,1,2,0,0,7
,台東高商,0,1,2,0,4,3,0,13,1,0,0,1,25
,台東專科學校(高職部),49,1,1,0,1,1,1,44,5,1,0,2,106
,成功商業水產,5,0,0,0,1,1,1,7,0,0,0,0,15
,關山工商,31,0,2,0,2,0,1,8,0,1,0,1,46
,蘭嶼高中,1,0,0,0,0,0,0,3,0,0,0,0,4
,總計,96,3,5,1,13,6,4,120,7,4,0,5,264
