
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,公東高工,7,0,0,1,1,1,1,50,0,0,0,3,64
,台東大學附中,1,0,0,0,0,1,0,3,0,0,0,0,5
,台東女中,0,1,0,0,1,1,0,0,0,0,0,0,3
,台東高中,0,0,0,0,0,2,0,1,2,0,0,1,6
,台東高商,0,1,1,0,0,3,0,11,1,0,0,1,18
,台東專科學校(高職部),49,1,1,1,4,1,1,43,7,1,0,1,110
,成功商業水產,5,0,0,0,1,1,1,12,0,0,0,0,20
,關山工商,35,0,2,0,3,1,0,8,0,1,0,1,51
,蘭嶼高中,1,0,0,0,0,0,0,2,0,0,0,0,3
,總計,98,3,4,2,10,11,3,130,10,2,0,7,280
